桥ID,古桥名称,建造年代,经度,纬度,所在省份,桥型,材质,长度,跨度,保护级别,数据来源,建造朝代,地理区域,桥梁时代,规模分类,故事,
br_b35d403c6f9e,卢沟桥,1192,116.2139,39.8465,北京,联拱石桥,石,266.5,11.4,国家级,国家文物局数据库,宋元时期,华北,古代,大型,"卢沟桥
历史背景：明昌三年（1192年）建成，因横跨卢沟河（今永定河）而得名。是北京现存最古老的石造联拱桥，以卢沟晓月列为燕京八景之一。1937年七七事变在此爆发，成为抗日战争全面爆发地。
建筑特点：
•	11孔联拱石桥，全长266.5米，宽7.5米
•	桥身两侧石雕护栏各有望柱140根，柱头刻有形态各异的石狮485个
•	桥墩呈船形，迎水面砌作分水尖，减轻水流冲击
•	桥面用石板铺砌，两侧石栏板雕有精美花纹",
br_740191ceb577,广济桥,1171,116.6226,23.6685,广东,梁桥与浮桥结合,石/木,518,18,国家级,UNESCO世界遗产,宋元时期,华南,古代,大型,"广济桥
历史背景：始建于南宋乾道七年（1171年），历时57年建成，初为浮桥，后改为石桥。因桥上有24座楼台亭阁，俗称湘子桥。是中国四大古桥之一，2007年修复后作为步行桥开放，2023年列入世界文化遗产预备名单。
建筑特点：
•	梁桥与浮桥结合，东段12孔，西段7孔，中间用18艘梭船连接成浮桥
•	全长518米，桥墩巨大，形态各异，有十八梭船廿四洲之称
•	桥上有24座不同形式的亭台楼阁，集梁桥、拱桥、浮桥于一体
•	中间浮桥可开合，便于船只通行",
br_38c42babd7ac,洛阳桥,1059,118.6808,24.9581,福建,筏形基础梁式石桥,石,731,17,国家级,《泉州府志》,宋元时期,华东,古代,大型,"洛阳桥
历史背景：北宋皇祐五年（1059年）由泉州太守蔡襄主持修建，历时6年建成。是中国现存最早的跨海梁式石桥，首创筏形基础和种蛎固基法，是世界桥梁史上的创举。1988年被列为全国重点文物保护单位。
建筑特点：
采用筏形基础，在江底抛置大量石块形成基础，再在石基上立桥墩
•	 利用牡蛎繁殖使桥基和桥墩胶结成牢固整体
•	桥长731米，宽4.5米，有46座船形桥墩
•	桥上有石塔、石亭、石狮等附属建筑",
br_4d04253ba49a,安平桥,1151,118.4512,24.7145,福建,梁式石桥,石,2255,8,国家级,中国桥梁史,宋元时期,华东,古代,大型,"安平桥
历史背景：南宋绍兴八年（1138年）始建，绍兴二十一年（1151年）建成，因桥长约五华里，俗称五里桥。是中古时代世界最长的梁式石桥，也是中国现存最长的海港大石桥。1961年列为全国重点文物保护单位。
建筑特点：
•	桥长2255米，宽3-3.8米，有桥墩361座
•	桥墩用条石纵横交错砌筑，呈船形、长方形、单边船形三种
•	桥面用5-8条大石板铺成，每块石板长8-11米，宽0.5-0.8米
•	桥上建有5座亭子，供行人歇息",
br_1cab80003a54,十字桥,1102,112.5531,37.8706,山西,十字形拱桥,石,18.5,6.5,国家级,晋祠文物档案,宋元时期,华北,古代,小型,"十字桥（鱼沼飞梁）
历史背景：位于山西太原晋祠圣母殿前，北宋崇宁元年（1102年）重建。是中国现存最早的十字形桥梁，也是唯一保存完好的古代十字桥。1953年按原样翻修，1982年被列为全国重点文物保护单位。
建筑特点：
•	十字形平面，东西长19.6米，宽5米，南北长19.5米，宽4米
•	桥下为方形鱼沼，34根八角石柱支撑桥面
•	桥面呈十字形，东西向为平桥，南北向为斜坡桥
•	桥面两侧有汉白玉石栏，雕刻精美",
br_e34cf20285fc,宝带桥,1446,120.6374,31.2639,江苏,多孔石拱桥,石,316.8,4.1,国家级,《苏州府志》,明清时期,华东,古代,大型,"宝带桥
历史背景：始建于唐元和十一年（816年），明代正统十一年（1446年）重建，清代多次重修。因苏州刺史王仲舒捐宝带资助建桥而得名。是中国现存最长的多孔石拱桥，1956年修复，2001年列为全国重点文物保护单位。
建筑特点：
•	53孔联拱石桥，全长316.8米，宽4.1米
•	桥孔大小不一，中间3孔较大，便于船只通行
•	桥墩采用薄墩结构，减少水流阻力
•	桥身平缓，形如宝带，故名",
br_3b3400087b8a,玉带桥,1750,116.2663,39.9993,北京,高拱石桥,石,40,12.5,国家级,颐和园档案,明清时期,华北,古代,小型,"玉带桥
历史背景：位于北京颐和园昆明湖西堤，清乾隆年间（1750年）建造。因桥身用汉白玉和青白石砌筑，形似玉带而得名。是颐和园著名的景观桥，1961年随颐和园列为全国重点文物保护单位。
建筑特点：
•	单孔高拱石桥，桥拱高耸，形如驼峰
•	桥长40米，宽10米，拱高7.5米
•	桥面两侧有精美的白石栏板，雕刻云龙图案
•	桥身曲线优美，与周围景观和谐统一",
br_e00b153e33a1,泸定桥,1706,102.2345,29.9123,四川,铁索桥,铁,103,2.8,国家级,《泸定县志》,明清时期,西南,古代,中型,"泸定桥
历史背景：清康熙四十四年（1705年）始建，康熙四十五年（1706年）建成，因康熙御笔题写泸定桥而得名。1935年红军长征中飞夺泸定桥战役在此发生。1961年列为全国重点文物保护单位。
建筑特点：
•	铁索悬桥，由13根铁链组成，9根作底链，4根作扶手
•	桥长103米，宽3米，距水面约14米
•	铁链每根重约2.5吨，由121个铁环相扣
•	桥两端各有桥台，用条石砌筑",
br_8050921e53e0,五亭桥,1757,119.4233,32.4082,江苏,拱桥组合,石,57.99,7.13,国家级,瘦西湖管理处,明清时期,华东,古代,中型,"五亭桥
历史背景：位于江苏扬州瘦西湖，清乾隆二十二年（1757年）为迎接乾隆南巡而建。因桥上有五座亭子而得名，是瘦西湖的标志性建筑。1961年随瘦西湖列为全国重点文物保护单位。
建筑特点：
•	桥身由15个拱券组成，3大12小，桥长57.99米
•	桥上建五座亭子，中间为主亭，四角为小亭
•	桥墩用青石砌筑，桥面用花岗岩铺砌
•	桥孔大小不一，可通游船",
br_1aaf9d32bbc7,纤道桥,815,120.5649,30.0492,浙江,石梁桥,石,386.2,2.4,国家级,绍兴文物局,唐宋时期,华东,古代,大型,"纤道桥
历史背景：位于浙江绍兴，始建于(815)，历代多次重修。是古代纤夫拉船行走的专用道路，也是中国现存最长的古代石梁桥。1988年列为全国重点文物保护单位。
建筑特点：
•	石梁桥，桥面低平，贴近水面
•	全长386.2米，由115孔组成，每孔跨度2.4米
•	桥面用3块石板并列铺成，宽约1.5米
•	桥墩用条石砌筑，间距较小",
